korean,latin,transcription
궖,gweolp,kwʌlpʰ
궗,gweolh,kwʌlh
궘,gweom,kwʌm
궙,gweob,kwʌp
궚,gweobs,kwʌps
궛,gweos,kwʌs
궜,gweoss,kwʌs͈
궝,gweong,kwʌŋ
궞,gweoj,kwʌt͡ɕ
궟,gweoch,kwʌt͡ɕʰ
궠,gweok,kwʌkʰ
궡,gweot,kwʌtʰ
궢,gweop,kwʌpʰ
궣,gweoh,kwʌh
궤,gwe,kwe
궥,gweg,kwek
궦,gwegg,kwek͈
궧,gwegs,kweks
궨,gwen,kwen
궩,gwenj,kwenɟ
궪,gwenh,kwenh
궫,gwed,kwet
궬,gwel,kweɾ
궭,gwelg,kwelg
궮,gwelm,kwelm
궯,gwelb,kwelb
궰,gwels,kwels
궱,gwelt,kweltʰ
궲,gwelp,kwelpʰ
궳,gwelh,kwelh
궴,gwem,kwem
궵,gweb,kwep
궶,gwebs,kweps
궷,gwes,kwes
궸,gwess,kwes͈
궹,gweng,kweŋ
궺,gwej,kwet͡ɕ
궻,gwech,kwet͡ɕʰ
궼,gwek,kwekʰ
궽,gwet,kwetʰ
궾,gwep,kwepʰ
궿,gweh,kweh
귀,gwi,kwi
귁,gwig,kwik
귂,gwigg,kwik͈
귃,gwigs,kwiks
귄,gwin,kwin
귅,gwinj,kwinɟ
귆,gwinh,kwinh
귇,gwid,kwit
귈,gwil,kwiɾ
귉,gwilg,kwilg
귊,gwilm,kwilm
귋,gwilb,kwilb
귌,gwils,kwils
귍,gwilt,kwiltʰ
귎,gwilp,kwilpʰ
귏,gwilh,kwilh
귐,gwim,kwim
귑,gwib,kwip
귒,gwibs,kwips
귓,gwis,kwis
귔,gwiss,kwis͈
귕,gwing,kwiŋ
귖,gwij,kwit͡ɕ
귗,gwich,kwit͡ɕʰ
귘,gwik,kwikʰ
귙,gwit,kwitʰ
귚,gwip,kwipʰ
귛,gwih,kwih
규,gyu,kju
귝,gyug,kjuk
귞,gyugg,kjuk͈
귟,gyugs,kjuks
균,gyun,kjun
귡,gyunj,kjunɟ
귢,gyunh,kjunh
귣,gyud,kjut
귤,gyul,kjuɾ
귥,gyulg,kjulg
귦,gyulm,kjulm
귧,gyulb,kjulb
귨,gyuls,kjuls
귩,gyult,kjultʰ
귪,gyulp,kjulpʰ
귫,gyulh,kjulh
귬,gyum,kjum
귭,gyub,kjup
귮,gyubs,kjups
귯,gyus,kjus
귰,gyuss,kjus͈
귱,gyung,kjuŋ
귲,gyuj,kjut͡ɕ
귳,gyuch,kjut͡ɕʰ
귴,gyuk,kjukʰ
귵,gyut,kjutʰ
귶,gyup,kjupʰ
귷,gyuh,kjuh
그,geu,kɨ
극,geug,kɨk
귺,geugg,kɨk͈
귻,geugs,kɨks
근,geun,kɨn
귽,geunj,kɨnɟ
귾,geunh,kɨnh
귿,geud,kɨt
글,geul,kɨɾ
긁,geulg,kɨlg
긂,geulm,kɨlm
긃,geulb,kɨlb
긄,geuls,kɨls
긅,geult,kɨltʰ
긆,geulp,kɨlpʰ
긇,geulh,kɨlh
금,geum,kɨm
급,geub,kɨp
긊,geubs,kɨps
긋,geus,kɨs
긌,geuss,kɨs͈
긍,geung,kɨŋ
긎,geuj,kɨt͡ɕ
긏,geuch,kɨt͡ɕʰ
긐,geuk,kɨkʰ
긑,geut,kɨtʰ
긒,geup,kɨpʰ
긓,geuh,kɨh
긔,gyi,kы
긕,gyig,kыk
긖,gyigg,kыk͈
긗,gyigs,kыks
긘,gyin,kыn
긙,gyinj,kыnɟ
긚,gyinh,kыnh
긛,gyid,kыt
긜,gyil,kыɾ
긝,gyilg,kыlg
긞,gyilm,kыlm
긟,gyilb,kыlb
긠,gyils,kыls
긡,gyilt,kыltʰ
긢,gyilp,kыlpʰ
긣,gyilh,kыlh
긤,gyim,kыm
긥,gyib,kыp
긦,gyibs,kыps
긧,gyis,kыs
긨,gyiss,kыs͈
긩,gying,kыŋ
긪,gyij,kыt͡ɕ
긫,gyich,kыt͡ɕʰ
긬,gyik,kыkʰ
긭,gyit,kыtʰ
긮,gyip,kыpʰ
긯,gyih,kыh
기,gi,ki
긱,gig,kik
긲,gigg,kik͈
긳,gigs,kiks
긴,gin,kin
긵,ginj,kinɟ
긶,ginh,kinh
긷,gid,kit
길,gil,kiɾ
긹,gilg,kilg
긺,gilm,kilm
긻,gilb,kilb
긼,gils,kils
긽,gilt,kiltʰ
긾,gilp,kilpʰ
긿,gilh,kilh
김,gim,kim
깁,gib,kip
깂,gibs,kips
깃,gis,kis
깄,giss,kis͈
깅,ging,kiŋ
깆,gij,kit͡ɕ
깇,gich,kit͡ɕʰ
깈,gik,kikʰ
깉,git,kitʰ
깊,gip,kipʰ
깋,gih,kih
까,gga,k͈ɐ
깍,ggag,k͈ɐk
깎,ggagg,k͈ɐk͈
깏,ggags,k͈ɐks
깐,ggan,k͈ɐn
깑,gganj,k͈ɐnɟ
깒,gganh,k͈ɐnh
깓,ggad,k͈ɐt
깔,ggal,k͈ɐɾ
깕,ggalg,k͈ɐlg
깖,ggalm,k͈ɐlm
깗,ggalb,k͈ɐlb
깘,ggals,k͈ɐls
깙,ggalt,k͈ɐltʰ
깚,ggalp,k͈ɐlpʰ
깛,ggalh,k͈ɐlh
깜,ggam,k͈ɐm
깝,ggab,k͈ɐp
깞,ggabs,k͈ɐps
깟,ggas,k͈ɐs
깠,ggass,k͈ɐs͈
깡,ggang,k͈ɐŋ
깢,ggaj,k͈ɐt͡ɕ
깣,ggach,k͈ɐt͡ɕʰ
깤,ggak,k͈ɐkʰ
깥,ggat,k͈ɐtʰ
깦,ggap,k͈ɐpʰ
깧,ggah,k͈ɐh
깨,ggae,k͈ɛ
깩,ggaeg,k͈ɛk
깪,ggaegg,k͈ɛk͈
깫,ggaegs,k͈ɛks
깬,ggaen,k͈ɛn
깭,ggaenj,k͈ɛnɟ
깮,ggaenh,k͈ɛnh
깯,ggaed,k͈ɛt
깰,ggael,k͈ɛɾ
깱,ggaelg,k͈ɛlg
깲,ggaelm,k͈ɛlm
깳,ggaelb,k͈ɛlb
깴,ggaels,k͈ɛls
깵,ggaelt,k͈ɛltʰ
깶,ggaelp,k͈ɛlpʰ
깷,ggaelh,k͈ɛlh
깸,ggaem,k͈ɛm
깹,ggaeb,k͈ɛp
깺,ggaebs,k͈ɛps
깻,ggaes,k͈ɛs
깼,ggaess,k͈ɛs͈
깽,ggaeng,k͈ɛŋ
깾,ggaej,k͈ɛt͡ɕ
깿,ggaech,k͈ɛt͡ɕʰ
꺀,ggaek,k͈ɛkʰ
꺁,ggaet,k͈ɛtʰ
꺂,ggaep,k͈ɛpʰ
꺃,ggaeh,k͈ɛh
꺄,ggya,k͈jɐ
꺅,ggyag,k͈jɐk
꺆,ggyagg,k͈jɐk͈
꺇,ggyags,k͈jɐks
꺈,ggyan,k͈jɐn
꺉,ggyanj,k͈jɐnɟ
꺊,ggyanh,k͈jɐnh
꺋,ggyad,k͈jɐt
꺌,ggyal,k͈jɐɾ
꺍,ggyalg,k͈jɐlg
꺎,ggyalm,k͈jɐlm
꺏,ggyalb,k͈jɐlb
꺐,ggyals,k͈jɐls
꺑,ggyalt,k͈jɐltʰ
꺒,ggyalp,k͈jɐlpʰ
꺓,ggyalh,k͈jɐlh
꺔,ggyam,k͈jɐm
꺕,ggyab,k͈jɐp
꺖,ggyabs,k͈jɐps
꺗,ggyas,k͈jɐs
꺘,ggyass,k͈jɐs͈
꺙,ggyang,k͈jɐŋ
꺚,ggyaj,k͈jɐt͡ɕ
꺛,ggyach,k͈jɐt͡ɕʰ
꺜,ggyak,k͈jɐkʰ
꺝,ggyat,k͈jɐtʰ
꺞,ggyap,k͈jɐpʰ
꺟,ggyah,k͈jɐh
꺠,ggyae,k͈jɛ
꺡,ggyaeg,k͈jɛk
꺢,ggyaegg,k͈jɛk͈
꺣,ggyaegs,k͈jɛks
꺤,ggyaen,k͈jɛn
꺥,ggyaenj,k͈jɛnɟ
꺦,ggyaenh,k͈jɛnh
꺧,ggyaed,k͈jɛt
꺨,ggyael,k͈jɛɾ
꺩,ggyaelg,k͈jɛlg
꺪,ggyaelm,k͈jɛlm
꺫,ggyaelb,k͈jɛlb
꺬,ggyaels,k͈jɛls
꺭,ggyaelt,k͈jɛltʰ
꺮,ggyaelp,k͈jɛlpʰ
꺯,ggyaelh,k͈jɛlh
꺰,ggyaem,k͈jɛm
꺱,ggyaeb,k͈jɛp
꺲,ggyaebs,k͈jɛps
꺳,ggyaes,k͈jɛs
꺴,ggyaess,k͈jɛs͈
꺵,ggyaeng,k͈jɛŋ
꺶,ggyaej,k͈jɛt͡ɕ
꺷,ggyaech,k͈jɛt͡ɕʰ
꺸,ggyaek,k͈jɛkʰ
꺹,ggyaet,k͈jɛtʰ
꺺,ggyaep,k͈jɛpʰ
꺻,ggyaeh,k͈jɛh
꺼,ggeo,k͈ʌ
꺽,ggeog,k͈ʌk
꺾,ggeogg,k͈ʌk͈
꺿,ggeogs,k͈ʌks
껀,ggeon,k͈ʌn
껁,ggeonj,k͈ʌnɟ
껂,ggeonh,k͈ʌnh
껃,ggeod,k͈ʌt
껄,ggeol,k͈ʌɾ
껅,ggeolg,k͈ʌlg
껆,ggeolm,k͈ʌlm
껇,ggeolb,k͈ʌlb
껈,ggeols,k͈ʌls
껉,ggeolt,k͈ʌltʰ
껊,ggeolp,k͈ʌlpʰ
껋,ggeolh,k͈ʌlh
껌,ggeom,k͈ʌm
껍,ggeob,k͈ʌp
껎,ggeobs,k͈ʌps
껏,ggeos,k͈ʌs
껐,ggeoss,k͈ʌs͈
껑,ggeong,k͈ʌŋ
껒,ggeoj,k͈ʌt͡ɕ
껓,ggeoch,k͈ʌt͡ɕʰ
껔,ggeok,k͈ʌkʰ
껕,ggeot,k͈ʌtʰ
껖,ggeop,k͈ʌpʰ
껗,ggeoh,k͈ʌh
께,gge,k͈e
껙,ggeg,k͈ek
껚,ggegg,k͈ek͈
껛,ggegs,k͈eks
껜,ggen,k͈en
껝,ggenj,k͈enɟ
껞,ggenh,k͈enh
껟,gged,k͈et
껠,ggel,k͈eɾ
껡,ggelg,k͈elg
껢,ggelm,k͈elm
껣,ggelb,k͈elb
껤,ggels,k͈els
껥,ggelt,k͈eltʰ
껦,ggelp,k͈elpʰ
껧,ggelh,k͈elh
껨,ggem,k͈em
껩,ggeb,k͈ep
껪,ggebs,k͈eps
껫,gges,k͈es
껬,ggess,k͈es͈
껭,ggeng,k͈eŋ
껮,ggej,k͈et͡ɕ
껯,ggech,k͈et͡ɕʰ
껰,ggek,k͈ekʰ
껱,gget,k͈etʰ
껲,ggep,k͈epʰ
껳,ggeh,k͈eh
껴,ggyeo,k͈jʌ
껵,ggyeog,k͈jʌk
껶,ggyeogg,k͈jʌk͈
껷,ggyeogs,k͈jʌks
껸,ggyeon,k͈jʌn
껹,ggyeonj,k͈jʌnɟ
껺,ggyeonh,k͈jʌnh
껻,ggyeod,k͈jʌt
껼,ggyeol,k͈jʌɾ
껽,ggyeolg,k͈jʌlg
껾,ggyeolm,k͈jʌlm
껿,ggyeolb,k͈jʌlb
꼀,ggyeols,k͈jʌls
꼁,ggyeolt,k͈jʌltʰ
꼂,ggyeolp,k͈jʌlpʰ
꼃,ggyeolh,k͈jʌlh
꼄,ggyeom,k͈jʌm
꼅,ggyeob,k͈jʌp
꼆,ggyeobs,k͈jʌps
꼇,ggyeos,k͈jʌs
꼈,ggyeoss,k͈jʌs͈
꼉,ggyeong,k͈jʌŋ
꼊,ggyeoj,k͈jʌt͡ɕ
꼋,ggyeoch,k͈jʌt͡ɕʰ
꼌,ggyeok,k͈jʌkʰ
꼍,ggyeot,k͈jʌtʰ
꼎,ggyeop,k͈jʌpʰ
꼏,ggyeoh,k͈jʌh
꼐,ggye,k͈je
꼑,ggyeg,k͈jek
꼒,ggyegg,k͈jek͈
꼓,ggyegs,k͈jeks
꼔,ggyen,k͈jen
꼕,ggyenj,k͈jenɟ
꼖,ggyenh,k͈jenh
꼗,ggyed,k͈jet
꼘,ggyel,k͈jeɾ
꼙,ggyelg,k͈jelg
꼚,ggyelm,k͈jelm
꼛,ggyelb,k͈jelb
꼜,ggyels,k͈jels
꼝,ggyelt,k͈jeltʰ
꼞,ggyelp,k͈jelpʰ
꼟,ggyelh,k͈jelh
꼠,ggyem,k͈jem
꼡,ggyeb,k͈jep
꼢,ggyebs,k͈jeps
꼣,ggyes,k͈jes
꼤,ggyess,k͈jes͈
꼥,ggyeng,k͈jeŋ
꼦,ggyej,k͈jet͡ɕ
꼧,ggyech,k͈jet͡ɕʰ
꼨,ggyek,k͈jekʰ
꼩,ggyet,k͈jetʰ
꼪,ggyep,k͈jepʰ
꼫,ggyeh,k͈jeh
꼬,ggo,k͈o
꼭,ggog,k͈ok
꼮,ggogg,k͈ok͈
꼯,ggogs,k͈oks
꼰,ggon,k͈on
꼱,ggonj,k͈onɟ
꼲,ggonh,k͈onh
꼳,ggod,k͈ot
꼴,ggol,k͈oɾ
꼵,ggolg,k͈olg
꼶,ggolm,k͈olm
꼷,ggolb,k͈olb
꼸,ggols,k͈ols
꼹,ggolt,k͈oltʰ
꼺,ggolp,k͈olpʰ
꼻,ggolh,k͈olh
꼼,ggom,k͈om
꼽,ggob,k͈op
꼾,ggobs,k͈ops
꼿,ggos,k͈os
꽀,ggoss,k͈os͈
꽁,ggong,k͈oŋ
꽂,ggoj,k͈ot͡ɕ
꽃,ggoch,k͈ot͡ɕʰ
꽄,ggok,k͈okʰ
꽅,ggot,k͈otʰ
꽆,ggop,k͈opʰ
꽇,ggoh,k͈oh
꽈,ggwa,k͈wɐ
꽉,ggwag,k͈wɐk
꽊,ggwagg,k͈wɐk͈
꽋,ggwags,k͈wɐks
꽌,ggwan,k͈wɐn
꽍,ggwanj,k͈wɐnɟ
꽎,ggwanh,k͈wɐnh
꽏,ggwad,k͈wɐt
꽐,ggwal,k͈wɐɾ
꽑,ggwalg,k͈wɐlg
꽒,ggwalm,k͈wɐlm
꽓,ggwalb,k͈wɐlb
꽔,ggwals,k͈wɐls
꽕,ggwalt,k͈wɐltʰ
꽖,ggwalp,k͈wɐlpʰ
꽗,ggwalh,k͈wɐlh
꽘,ggwam,k͈wɐm
꽙,ggwab,k͈wɐp
꽚,ggwabs,k͈wɐps
꽛,ggwas,k͈wɐs
꽜,ggwass,k͈wɐs͈
꽝,ggwang,k͈wɐŋ
꽞,ggwaj,k͈wɐt͡ɕ
꽟,ggwach,k͈wɐt͡ɕʰ
꽠,ggwak,k͈wɐkʰ
꽡,ggwat,k͈wɐtʰ
꽢,ggwap,k͈wɐpʰ
꽣,ggwah,k͈wɐh
꽤,ggwae,k͈wɛ
꽥,ggwaeg,k͈wɛk
꽦,ggwaegg,k͈wɛk͈
꽧,ggwaegs,k͈wɛks
꽨,ggwaen,k͈wɛn
꽩,ggwaenj,k͈wɛnɟ
꽪,ggwaenh,k͈wɛnh
꽫,ggwaed,k͈wɛt
꽬,ggwael,k͈wɛɾ
꽭,ggwaelg,k͈wɛlg
꽮,ggwaelm,k͈wɛlm
꽯,ggwaelb,k͈wɛlb
꽰,ggwaels,k͈wɛls
꽱,ggwaelt,k͈wɛltʰ
꽲,ggwaelp,k͈wɛlpʰ
꽳,ggwaelh,k͈wɛlh
꽴,ggwaem,k͈wɛm
꽵,ggwaeb,k͈wɛp
꽶,ggwaebs,k͈wɛps
꽷,ggwaes,k͈wɛs
꽸,ggwaess,k͈wɛs͈
꽹,ggwaeng,k͈wɛŋ
꽺,ggwaej,k͈wɛt͡ɕ
꽻,ggwaech,k͈wɛt͡ɕʰ
꽼,ggwaek,k͈wɛkʰ
꽽,ggwaet,k͈wɛtʰ
꽾,ggwaep,k͈wɛpʰ
꽿,ggwaeh,k͈wɛh
꾀,ggoe,k͈we
꾁,ggoeg,k͈wek
꾂,ggoegg,k͈wek͈
꾃,ggoegs,k͈weks
꾄,ggoen,k͈wen
꾅,ggoenj,k͈wenɟ
꾆,ggoenh,k͈wenh
꾇,ggoed,k͈wet
꾈,ggoel,k͈weɾ
꾉,ggoelg,k͈welg
꾊,ggoelm,k͈welm
꾋,ggoelb,k͈welb
꾌,ggoels,k͈wels
꾍,ggoelt,k͈weltʰ
꾎,ggoelp,k͈welpʰ
꾏,ggoelh,k͈welh
꾐,ggoem,k͈wem
꾑,ggoeb,k͈wep
꾒,ggoebs,k͈weps
꾓,ggoes,k͈wes
꾔,ggoess,k͈wes͈
꾕,ggoeng,k͈weŋ
꾖,ggoej,k͈wet͡ɕ
꾗,ggoech,k͈wet͡ɕʰ
꾘,ggoek,k͈wekʰ
꾙,ggoet,k͈wetʰ
꾚,ggoep,k͈wepʰ
꾛,ggoeh,k͈weh
꾜,ggyo,k͈jo
꾝,ggyog,k͈jok
꾞,ggyogg,k͈jok͈
꾟,ggyogs,k͈joks
